district,disaster_type,month,district_monthly_count
"Didihat, Uttarakhand, India",Landslide,6,1
"Digdol, Jammu-Srinagar National Highway, Between Kashmir And The Rest Of The Country",Landslide,7,1
Digha,Cyclone,10,1
"Dikhu Bridge(?), Mokokchung-Tuensang Road, Nagaland",Landslide,8,1
Dim?Pur,Earthquake,4,1
Dima Hasao,Landslide,7,3
Dimapur-Imphal Highway (Nh 39) Near Manipur,Landslide,7,1
Diphu,Earthquake,7,2
Dirba,Earthquake,2,1
"Districts Lakhimpur, Dhemaji, Golaghat, And Sonitpur, Assam Province",Landslide,10,1
Diwalkund In Dessa Belt Of Doda District,Landslide,3,1
Doba,Landslide,3,1
"Doba Sayedan, Kashmir",Landslide,3,1
Doda,Flood,6,1
Doda,Landslide,8,2
Doda-Bhaderwah Highway,Landslide,3,1
Doda-Kishtwar Road,Landslide,7,1
Dohad,Flood,1,1
"Dolma Lhakang Complex, Lumla, Tawang,  Arunachal Pradesh, India",Landslide,7,1
Dum Dum Parai,Landslide,10,1
"Dumuriput, Odisha 764021, India",Landslide,9,1
Durgapur,Earthquake,11,1
East Champaran,Flood,7,1
East Godavari,Flood,6,1
East Godavari,Flood,8,2
East Jaintia Hills,Landslide,7,1
East Kameng District In Arunachal Pradesh Bordering China,Landslide,12,1
"East Kameng, Arunachal Pradesh",Landslide,8,1
East Khasi Hills,Earthquake,2,1
