district,disaster_type,district_event_count
Gaurikund-Kedarnath Pedestrian Trek,Landslide,1
Gaya,Flood,3
"Gayabari,  West Bengal",Landslide,1
Gayatri Nagar,Landslide,1
"Geetkolbong, Kalimpong Sub-Division, Darjeeling, West Bengal",Landslide,1
Geyzing-Jorethang Road And Naya Bazar-Legship Road,Landslide,1
"Ghaggar, Morni, Panchkula",Landslide,1
"Gharao Village, Near Holi Township",Landslide,1
"Ghat Road Leading To Sri Kanakadurga(Kanaka Durga) Temple, Indrakeeladri Hill, Vijayawada City, Andhra Pradesh",Landslide,1
"Ghat Road Of The Kanaka Durga Temple, Vijayawada District",Landslide,1
"Ghayabari-Tindharia On National Highway 55, Near Darjeeling Hills",Landslide,1
Ghazipur,Flood,2
"Gilbert Hill, Andheri West, Mumbai",Landslide,1
Go?Lp?Ra,Earthquake,4
Goa Coast,Cyclone,3
"Goa-Karnataka Link, Near Dudhsagar Waterfall",Landslide,1
Goalpara,Flood,6
Gobindpur,Earthquake,1
"Goddess Nijabankeswari Temple, Digapahandi, Ganjam District, Odisha, India",Landslide,1
Goh?Na,Earthquake,2
Gohpur,Earthquake,1
Golaghat,Flood,6
Gopalganj,Flood,2
Gopalpur,Cyclone,5
Gorakhpur,Flood,3
"Gosang Village Under Jengging Circle, Arunachal Pradesh",Landslide,1
Goshaingaon,Earthquake,1
"Gourishankar Tea Estate Premises, Darjeeling, West Bengal",Landslide,1
"Government Middle School (Gms) Kiphire Station Â€Œbâ€, Kiphire, Nagaland, India",Landslide,1
"Govindghat, On The Rishikesh-Badrinath Highway",Landslide,1
Gudalur,Landslide,1
"Gudalur Town, Nilgiris, Tamil Nadu",Landslide,1
"Gudder Village(?), Kulgam District, Jammu And Kashmir",Landslide,1
Gujarat,Earthquake,1
Gujarat Coast,Cyclone,45
Gulbarga,Flood,4
Gumma On Pathankot-Mandi National Highway,Landslide,1
Gunadala Hill Of Vijayawada,Landslide,1
"Gunji, Uttarakhand",Landslide,1
Guntur,Flood,4
Gurdaspur,Flood,1
"Gurez, Kashmir",Landslide,1
Guwahati,Flood,2
Guwahati,Landslide,2
"Guwahati, Assam",Landslide,1
Gwalior,Flood,1
Gyalshing,Earthquake,8
H?Jo,Earthquake,1
H?Rij,Earthquake,1
H?Sim?Ra,Earthquake,1
Haari Village Of Poonch District,Landslide,1
"Haflong, Assam",Landslide,1
Hail?K?Ndi,Earthquake,2
Hajibal,Landslide,1
Halvad,Earthquake,1
Hamirpur,Flood,6
Hanjishat Village In Handwara Area Of Kupwara District,Landslide,1
Hanogi,Landslide,1
"Hanogi On The Mandi-Kullu National Highway (Nh-21), Himachal Pradesh, India",Landslide,1
Hanumangarh,Flood,1
Haridwar,Flood,1
Haridwar In Uttarakhand Province,Landslide,1
"Harne(?) Village, Near Dapoli, Ratnagiri District, Maharashtra",Landslide,1
"Harsil, Uttarakhand",Landslide,1
Hassan,Flood,2
"Hathi Matha, Between Katra And Vaishno Devi Cave Shrine In Trikuta Hills, Reasi District",Landslide,1
"Hatisur(?), Sevok(Sevoke), Kalimpong Sub-Division, Nh 31A Between Siliguri And Gangtok, Sikkim",Landslide,1
Hatsingimari,Landslide,1
"Hattisurey In Kalimpong, On National Highway 31A",Landslide,1
Haveri,Flood,1
Hawai,Landslide,1
Hayuliang,Earthquake,7
"Hayuliang, Anjaw District,Arunachal Pradesh, India",Landslide,1
Hazaribagh,Flood,2
"Head Water Works, Kummaripalem, Vijayawada",Landslide,1
"Hee-Khola, Sikkim",Landslide,1
Heibok Hills,Landslide,1
"Helipong-Chessore Road, Nagaland",Landslide,1
"Highway 22, Near Borag Bypass, Near Solan, Himachal Pradesh, India",Landslide,1
"Highway 53 At Tupul, Tamenglong District",Landslide,1
"Highway To Rudraprayag District, Uttarakhand",Landslide,1
"Highway To Uttarkashi District, Uttarakhand",Landslide,1
Highways Leading To Badrinath And Gangotri,Landslide,1
"Hill(?) In Valmik Nagar, Kurla (Valmikinagar), Mumbai",Landslide,1
Himachal Pradesh School Education Board,Landslide,1
"Himachal Pradesh, All Over",Landslide,1
"Himachal Pradesh, Shimla District, Ghanvi Village",Landslide,1
Hindon River In Ghaziabad,Landslide,1
Hindustan-Tibet National Highway Near Matiana Village,Landslide,1
Hingdam Village In South Sikkim,Landslide,1
Hingoli,Flood,1
"Hoj-Potin Highway, Arunachal Pradesh, India",Landslide,1
Hoj?I,Earthquake,5
"Holenjang, Chandel District",Landslide,1
"Holy Cave Shrine, Mata Vaishno Devi, Trikuta Hills, Reasi District, Near Panchi Morh In Sanjichat Area En Route Mata Vaishno Devi",Landslide,1
Howrah,Flood,2
"Hual(Hu) Village(?), Lunglei-Lawngtlai Rd, Mizoram",Landslide,1
"Hunthar Veng, Mizoram",Landslide,1
"Hwy 123, Badnera, Maharashtra,",Landslide,1
Hyderabad,Flood,2
Idukki,Flood,6
Idukki,Landslide,4
"Idukki Taluk, Kerala",Landslide,1
"Idukki, Kerala",Landslide,1
"Idukki-Kattappana Rd, Keralaâ (Mid-Point Of Rd)",Landslide,1
Iit Campus In Mandi,Landslide,1
"Ikou-Gangpijang Road, Near: Ikou, Saikul, And Gangpijang; Imphal India",Landslide,1
Imph?L,Earthquake,5
Imphal / Senapati,Earthquake,7
Imphal West,Landslide,1
"Imphal-Dimapur Road  In Tadubi, Senapati District, Manipur, India",Landslide,1
"Imphal-Jiribam Section Of Nh-37 , Manipur",Landslide,1
Imphal-Ukhrul Road,Landslide,1
"Imphal-Ukhrul Sector Of National Highway 102, Manipur, India",Landslide,1
"India Gate(?), Srinagar-Leh Highway, Kashmir",Landslide,1
"Indira Bypass, Amdo Golai",Landslide,1
"Indrakeeladri Ghat Rd, Vijayawada, Andhra Pradesh",Landslide,1
Indri,Earthquake,1
"Irang(?) And Barak(?) And Makru(?) On Highway 53 Between Imphal And Jiribam, Manipur",Landslide,1
"Ishok Chingphu(?), Bishnupur, Assam",Landslide,1
Itanagar,Landslide,2
