district,disaster_type,district_avg_deaths
East Kameng District In Arunachal Pradesh Bordering China,Landslide,0.0
"East Kameng, Arunachal Pradesh",Landslide,0.0
"East Siang, Arunachal Pradesh",Landslide,3.0
East Sikkim,Landslide,24.0
East Singhbhum,Flood,38.0
"Eastern Edge Of Leh City, Ladakh, Jammu And Kashmir",Landslide,0.0
"Eknath(?) Chawl, Sainic Nagar(?), Below Mumbra Hill, Mumbra, Near Mumbai, Maharashtra",Landslide,6.0
"Ekvira Devi Temple, Karla Near Khandala",Landslide,0.0
"Endulin Nallah, Mayodia, 17-Camp, 83-Camp",Landslide,0.0
"Eraniel Station,  Kanyakumari District, India",Landslide,0.0
Erasama,Cyclone,1500.0
"Ernakulam, Kerala (Monsoon)",Landslide,4.0
Faizabad,Flood,100.0
Farangipete,Landslide,3.0
"Fazl Ali College, Mokokchung, Nagaland",Landslide,0.0
Ferozeguda,Landslide,1.0
"Finchaytaar, Lodhoma, Darjeeling, India",Landslide,0.0
"First Hairpin Bend, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,0.0
Frasthar,Landslide,0.0
Gagnani,Landslide,0.0
"Gaiparnath Mahadev Temple, Foothills Of Chambal Ravines",Landslide,2.0
Gamraula Near Bilaspur,Landslide,0.0
"Gandoh, Doda District, Jammu",Landslide,1.0
"Gangortri-Rishikesh Highway, At Narendranagar In Tehri District Of Uttarakhand",Landslide,0.0
Gangotri,Landslide,0.0
Gangotri Highway,Landslide,0.0
Gangtok,Landslide,68.5
"Gaoilung(Gadailong) Village(?), Ward 4(?), Tamenglong, Manipur",Landslide,2.0
Garchuk,Landslide,0.0
"Garhwal, Uttarakhand",Landslide,1.0
"Garo Hills, Tura",Landslide,6.0
"Gauchar, Chamoli District, Uttarakhand",Landslide,0.0
"Gaunsawaddo, Mapusa, Goa, India",Landslide,0.0
"Gaurikund, Road To Kedarnath, Garwhal Division, Uttarakhand",Landslide,0.0
Gaurikund-Kedarnath Pedestrian Trek,Landslide,0.0
Gaya,Flood,36.5
"Gayabari,  West Bengal",Landslide,0.0
Gayatri Nagar,Landslide,1.0
"Geetkolbong, Kalimpong Sub-Division, Darjeeling, West Bengal",Landslide,1.0
"Gharao Village, Near Holi Township",Landslide,0.0
"Ghat Road Leading To Sri Kanakadurga(Kanaka Durga) Temple, Indrakeeladri Hill, Vijayawada City, Andhra Pradesh",Landslide,0.0
"Ghat Road Of The Kanaka Durga Temple, Vijayawada District",Landslide,0.0
Ghazipur,Flood,72.5
"Gilbert Hill, Andheri West, Mumbai",Landslide,0.0
Goalpara,Flood,89.33333333333333
"Goddess Nijabankeswari Temple, Digapahandi, Ganjam District, Odisha, India",Landslide,0.0
Golaghat,Flood,78.33333333333333
Gopalganj,Flood,121.5
Gopalpur,Cyclone,101.6
Gorakhpur,Flood,145.0
"Gourishankar Tea Estate Premises, Darjeeling, West Bengal",Landslide,4.0
"Government Middle School (Gms) Kiphire Station Â€Œbâ€, Kiphire, Nagaland, India",Landslide,0.0
"Govindghat, On The Rishikesh-Badrinath Highway",Landslide,0.0
Gudalur,Landslide,24.0
"Gudalur Town, Nilgiris, Tamil Nadu",Landslide,0.0
"Gudder Village(?), Kulgam District, Jammu And Kashmir",Landslide,0.0
Gujarat Coast,Cyclone,10.0
Gulbarga,Flood,67.5
Gumma On Pathankot-Mandi National Highway,Landslide,0.0
Gunadala Hill Of Vijayawada,Landslide,1.0
Guntur,Flood,84.33333333333333
"Gurez, Kashmir",Landslide,1.0
Guwahati,Flood,100.0
Guwahati,Landslide,6.0
Gwalior,Flood,115.0
Haari Village Of Poonch District,Landslide,1.0
"Haflong, Assam",Landslide,1.0
Hajibal,Landslide,0.0
Hanjishat Village In Handwara Area Of Kupwara District,Landslide,0.0
Hanogi,Landslide,0.0
"Hanogi On The Mandi-Kullu National Highway (Nh-21), Himachal Pradesh, India",Landslide,0.0
Haridwar,Flood,450.0
Haridwar In Uttarakhand Province,Landslide,0.0
"Harne(?) Village, Near Dapoli, Ratnagiri District, Maharashtra",Landslide,8.0
"Hathi Matha, Between Katra And Vaishno Devi Cave Shrine In Trikuta Hills, Reasi District",Landslide,2.0
"Hatisur(?), Sevok(Sevoke), Kalimpong Sub-Division, Nh 31A Between Siliguri And Gangtok, Sikkim",Landslide,0.0
Hatsingimari,Landslide,1.0
Hawai,Landslide,0.0
"Hayuliang, Anjaw District,Arunachal Pradesh, India",Landslide,0.0
"Head Water Works, Kummaripalem, Vijayawada",Landslide,0.0
"Hee-Khola, Sikkim",Landslide,2.0
Heibok Hills,Landslide,0.0
"Highway 22, Near Borag Bypass, Near Solan, Himachal Pradesh, India",Landslide,1.0
"Highway 53 At Tupul, Tamenglong District",Landslide,0.0
"Highway To Rudraprayag District, Uttarakhand",Landslide,0.0
"Highway To Uttarkashi District, Uttarakhand",Landslide,0.0
Highways Leading To Badrinath And Gangotri,Landslide,0.0
"Hill(?) In Valmik Nagar, Kurla (Valmikinagar), Mumbai",Landslide,0.0
Himachal Pradesh School Education Board,Landslide,0.0
"Himachal Pradesh, All Over",Landslide,11.0
"Himachal Pradesh, Shimla District, Ghanvi Village",Landslide,52.0
Hindon River In Ghaziabad,Landslide,0.0
Hingdam Village In South Sikkim,Landslide,1.0
"Hoj-Potin Highway, Arunachal Pradesh, India",Landslide,1.0
"Holenjang, Chandel District",Landslide,0.0
"Holy Cave Shrine, Mata Vaishno Devi, Trikuta Hills, Reasi District, Near Panchi Morh In Sanjichat Area En Route Mata Vaishno Devi",Landslide,1.0
Howrah,Flood,95.0
"Hual(Hu) Village(?), Lunglei-Lawngtlai Rd, Mizoram",Landslide,0.0
"Hwy 123, Badnera, Maharashtra,",Landslide,3.0
Hyderabad,Flood,75.0
Idukki,Landslide,47.75
"Idukki Taluk, Kerala",Landslide,0.0
"Idukki, Kerala",Landslide,3.0
Iit Campus In Mandi,Landslide,0.0
Imphal West,Landslide,18.0
"Imphal-Dimapur Road  In Tadubi, Senapati District, Manipur, India",Landslide,0.0
Imphal-Ukhrul Road,Landslide,0.0
"Imphal-Ukhrul Sector Of National Highway 102, Manipur, India",Landslide,0.0
"India Gate(?), Srinagar-Leh Highway, Kashmir",Landslide,0.0
"Indrakeeladri Ghat Rd, Vijayawada, Andhra Pradesh",Landslide,0.0
"Irang(?) And Barak(?) And Makru(?) On Highway 53 Between Imphal And Jiribam, Manipur",Landslide,0.0
"Ishok Chingphu(?), Bishnupur, Assam",Landslide,0.0
Itanagar,Landslide,12.5
"Itanagar (One Near Pachali Power House, One Near Heema Hospital, And One Nearromik Colony At P Sector)",Landslide,3.0
"Itanagar, Arunachal Pradesh",Landslide,2.0
"Itanagar-Naharlagun, Arunachal Pradesh",Landslide,21.0
Itanagar/Naharlagur/Nirjuli,Landslide,0.0
Jagatsinghpur,Cyclone,3000.0
Jagatsinghpur,Flood,48.0
"Jahjon Ward(?), Mon Town, Nagaland",Landslide,0.0
Jaisalmer,Flood,10.0
Jajpur,Flood,88.0
Jalpaiguri,Flood,62.333333333333336
Jammu And Kashmir,Landslide,0.0
Jammu And Kashmir Between Adhkuwari And Bhawan At Devi Dwar,Landslide,0.0
"Jammu And Srinagar Natl. Hwy., Panthal, Ramban",Landslide,0.0
Jammu-Pathankot Route Near Samba,Landslide,0.0
Jammu-Srinagar Highway,Landslide,2.0
"Jammu-Srinagar Hwy, Digdol, Ramban, Jammu And Kashmir",Landslide,0.0
"Jammu-Srinagar Hwy, Sheeri(?), Ramban, Jammu And Kashmir",Landslide,0.0
Jammu-Srinagar National Highway,Landslide,2.5
Jammu-Srinagar National Highway At Kheri In Udhampur District,Landslide,0.0
"Jammu-Srinagar National Highway At Samroli, India",Landslide,0.0
Jammu-Srinagar National Highway In Jammu City,Landslide,0.0
"Jammu-Srinagar National Highway, Digdol Area, Jammu And Kashmir",Landslide,0.0
"Janki Chatti, Uttarakhand, India",Landslide,0.0
"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,0.0
"Jawahar Tunnel-Patnitop Stretch In Ramban District, Jammu-Srinagar Highway",Landslide,0.0
"Jeevandaya Lane(?), Vijay Nagar, Ghatopar(Ghatkopar)",Landslide,0.0
"Jeori-Ganvi(?) Rd, Kinnuar(Kinnaur) District, Himachal Pradesh",Landslide,0.0
Jheol Village In Dharamsala Subdivision,Landslide,0.0
"Jhulaghat Area Of Pithoragarh District, Uttarakhand",Landslide,1.0
Jivdani Temple,Landslide,1.0
Jodhpur,Flood,71.5
Jorabat-Umiam Route,Landslide,1.0
Jorhat,Flood,74.2
Joshimath-Mallari Road,Landslide,4.0
"Jwagdhar Village, Sangrah, Sirmaur District, Himachal Pradesh, India",Landslide,2.0
"Kadavoor, Erakulam, Kerala",Landslide,6.0
"Kadavoor, Kerala",Landslide,0.0
Kailashpur Hill,Landslide,1.0
Kaimur,Flood,12.0
"Kaiphundai(?)-Tousem(In Assam) Road, Tamenglong District, Manipur",Landslide,0.0
Kakinada,Cyclone,560.0
"Kakolat Falls, Rajauli Sub-Division, India",Landslide,0.0
"Kala Nalah(?), Keylong-Udaipur Rd, Himachal Pradesh",Landslide,0.0
Kala Zar In Reasi District,Landslide,5.0
"Kalahandi District Of Orissa, Depur Village",Landslide,5.0
Kalijhora,Landslide,0.0
Kalimpong,Landslide,30.0
"Kalimpong, Darjeeling, West Bengal",Landslide,2.0
"Kalimpong, West Bengal",Landslide,0.5
"Kalka-Shimla Rail Line, 1 Km From Dharampur Railway Station At Tunnel No. 27",Landslide,1.0
"Kallar, Tamil Nadu",Landslide,0.0
"Kallarakodi, Ullal, India",Landslide,0.0
Kalsan Village Near Bagial Dhara,Landslide,0.0
Kamakhya Temple,Landslide,0.0
"Kamraj Nagar Slum At Sion-Koliwada, Antop Hill, Mumbai",Landslide,2.0
Kamrup,Flood,98.83333333333333
Kamrup,Landslide,162.5
"Kamrup District, Assam, India",Landslide,2.0
"Kamrup, And Sonitpur, Assam",Landslide,7.0
"Kandi Canal Project, Gandoh Area, Doda District, Kashmir",Landslide,1.0
Kandla,Cyclone,1173.0
Kangra,Flood,80.0
Kangra,Landslide,21.0
Kangtsung Village,Landslide,0.0
"Kanipathri(?), Srinagar-Leh Highway, Kashmir",Landslide,0.0
"Kankumbi, Karnataka",Landslide,0.0
"Kanlog, Shimla, Himachal Pradesh",Landslide,2.0
Kanpur,Flood,81.0
Karaikal,Cyclone,55.0
"Karakkamandapam, Kerala",Landslide,0.0
"Karcham, Himachal Pradesh, India",Landslide,1.0
"Karcham-Sangla Rd, Himachal Pradesh",Landslide,0.0
Karimnagar,Landslide,10.0
"Karmkund(?), On Rishikesh-Gangotri Hwy",Landslide,0.0
"Karnaprayag, Uttarakhand",Landslide,0.0
"Karnataka Coast, Mangalore",Landslide,0.0
Karsingsa Block Point,Landslide,5.0
"Karsog-Rampur Rd, Himachal Pradesh",Landslide,0.0
"Kasauli-Parwanoo Rd, Himachal Pradesh",Landslide,0.0
"Kashedi Ghat,  Raigad  Maharashtra (Used Raigad Fort For Lat Lon)",Landslide,0.0
Kashmaari Village In Solan District,Landslide,2.0
"Katare Village, 80 Km From Kalimpong",Landslide,1.0
Kathua,Landslide,0.0
Kathua-Billawar Road,Landslide,0.0
Katihar,Flood,85.0
Kavali,Cyclone,52.0
"Kazigadi Near Nashik, Maharashtra",Landslide,0.0
Kaziranga,Flood,45.0
Kedarnath,Flood,5700.0
Kedarnath,Landslide,0.0
"Kedarnath (Hindu Shrine), Near Kedarnath Dome (Mountain), Uttarakhand",Landslide,5000.0
Kedarnath Yatra,Landslide,0.0
Kempty Falls,Landslide,0.0
Kempty Road Near Kandikhal,Landslide,0.0
Kempty Road Near Kempty Falls,Landslide,0.0
Kempty Road Near Sia Village,Landslide,0.0
Kendrapara,Cyclone,1200.0
Kendrapara,Flood,98.5
Keran,Landslide,0.0
"Kerseong, Sub-Division, Siliguri District, West Bengal",Landslide,5.0
"Kerseong, West Bengal",Landslide,0.0
"Khadpora(?), Kandi Area(?) On The Outskirts Of The Baramulla Town, Jammu And Kashmir",Landslide,0.0
Khagaria,Flood,215.0
"Khahare Khola, Kurseong",Landslide,0.0
Khammam,Flood,63.5
Khandala Tunnel,Landslide,0.0
"Khandala, On Mumbai-Pune Expressway",Landslide,0.0
Khanpora,Landslide,0.0
Khansahib,Landslide,0.0
Kharganjuwa Hill Near Barki Lami Pahar 30Km From Daltonganj,Landslide,0.0
"Kharghuli Hills, Assam",Landslide,0.0
"Kharghuli, Guwahati, Assam",Landslide,0.0
Khargone,Landslide,15.0
Kheri,Landslide,0.0
Kheri Near Udhampur,Landslide,0.0
"Khindipada Area, Near The Bmc Pipeline At Bhandup-West",Landslide,0.0
"Khooni Nullah On The Srinagar-Jammu Highway, Ramban District",Landslide,6.0
Khordha,Flood,65.0
Khoupum,Landslide,0.0
Khwas Tehsil Of Rajouri District,Landslide,0.0
Kinnaur,Landslide,24.0
